tmdb_id,title,release_date,budget,revenue,runtime,log10_budget,is_franchise,sequel_index,release_month,is_holiday_window,is_summer_window,competing_release_count,cast_star_power,director_prior_median_rev,studio_tier,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_science_fiction,genre_thriller,genre_war,genre_western,cert_g,cert_pg,cert_pg13,cert_r,cert_nc17,log10_revenue,is_hit
299536,"Avengers: Infinity War",2018-04-25,300000000,2052415039,149,8.4771,1,2,4,0,0,2,23,400,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.3123,1
284054,"Black Panther",2018-02-13,200000000,1349926083,135,8.301,1,2,2,0,0,3,12,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.1303,1
351286,"Jurassic World: Fallen Kingdom",2018-06-06,170000000,1310469037,129,8.2304,1,2,6,0,1,4,12,400,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.1174,1
260513,"Incredibles 2",2018-06-14,200000000,1243225667,118,8.301,1,2,6,0,1,4,10,400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0945,1
297802,"Aquaman",2018-12-07,160000000,1152028393,143,8.2041,1,2,12,1,0,1,17,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0615,1
424694,"Bohemian Rhapsody",2018-10-24,52000000,910813521,135,7.716,0,1,10,0,0,4,10,400,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8.9594,1
335983,"Venom",2018-09-28,116000000,856085151,112,8.0645,1,2,9,0,0,1,14,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8.9325,1
353081,"Mission: Impossible - Fallout",2018-07-25,178000000,824171374,147,8.2504,1,2,7,0,1,2,24,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.916,1
383498,"Deadpool 2",2018-05-15,110000000,785896632,120,8.0414,1,2,5,0,1,1,21,400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8954,1
338952,"Fantastic Beasts: The Crimes of Grindelwald",2018-11-14,200000000,654900000,134,8.301,1,2,11,1,0,4,10,400,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8162,1
